
epoch,loss_train,acc_train,loss_val,acc_val
0,0.08156919572502375,0.6013333333333334,0.09442415995442349,0.4519456165025786
1,0.0729058354627341,0.694,0.08118340340645416,0.6368963900609469
2,0.06948911212384701,0.7171666666666666,0.07044252396925636,0.7409751523675575
3,0.0663839727640152,0.7318333333333333,0.0639650824925174,0.7967651195499297
4,0.06400163378566504,0.7413333333333333,0.05977302951657254,0.8183309892170653
5,0.062351086526177824,0.758,0.05746665758931119,0.8216127519924988
6,0.061757075134664774,0.7618333333333333,0.05515758628430574,0.8272386310360994
7,0.06068668025545776,0.7639999999999999,0.0539248985764773,0.8330989217065166
8,0.059120717691257596,0.7701666666666668,0.052970097278771194,0.8349742147210502
9,0.05760397878475487,0.7831666666666665,0.05169467044913251,0.8345053914674168
10,0.057372423936612904,0.7811666666666666,0.05049995932242145,0.8347398030942336
11,0.05660304939374328,0.7816666666666667,0.049310630592315094,0.8389592123769338
12,0.05598938139155507,0.7898333333333333,0.04830631419368412,0.8445850914205345
